timestamp_ms,temperature_c,acc_x_g,acc_y_g,acc_z_g,gyr_x_dps,gyr_y_dps,gyr_z_dps,mag_x_ut,mag_y_ut,mag_z_ut,mic_level,bat_voltage_v,bat_percent
629177,42.39,-0.0,-0.01,1.011,-0.31,0.24,-0.24,-161.47,357.26,41.35,0.5,4.166,100
629280,42.37,-0.0,-0.009,1.01,-0.37,0.24,-0.12,-158.47,417.24,35.36,0.5,4.166,100
629383,42.4,-0.001,-0.011,1.011,-0.18,0.12,-0.24,-158.47,369.26,32.36,0.3,4.166,100
629486,42.38,-0.001,-0.009,1.011,-0.18,0.24,-0.31,-182.46,426.23,35.36,0.2,4.166,100
629589,42.37,0.0,-0.007,1.01,-0.31,0.0,-0.24,-155.47,378.25,65.34,0.2,4.166,100
629692,42.35,0.0,-0.009,1.01,-0.31,0.18,-0.18,-161.47,360.26,23.36,0.2,4.166,100
629795,42.43,0.0,-0.005,1.011,-0.18,0.0,-0.31,-149.47,345.27,44.35,0.3,4.166,100
629898,42.37,-0.0,-0.01,1.013,-0.24,0.18,-0.18,-164.47,399.24,8.37,0.3,4.167,100
630001,42.41,0.0,-0.008,1.011,-0.43,0.31,-0.12,-143.48,363.26,26.36,0.2,4.167,100
630104,42.36,0.001,-0.009,1.01,-0.31,0.06,-0.24,-170.46,357.26,20.36,0.1,4.167,100
630207,42.39,-0.001,-0.011,1.009,-0.31,0.12,-0.31,-170.46,381.25,26.36,0.2,4.167,100
630310,42.39,-0.002,-0.011,1.01,-0.37,0.24,-0.18,-173.46,393.25,23.36,0.3,4.167,100
630413,42.37,0.0,-0.006,1.01,-0.31,0.24,-0.24,-164.47,363.26,20.36,0.3,4.167,100
630516,42.38,0.0,-0.009,1.011,-0.31,0.0,-0.31,-128.48,408.24,41.35,0.3,4.167,100
630619,42.36,0.0,-0.008,1.01,-0.12,0.18,-0.18,-170.46,372.26,29.36,0.3,4.167,100
630722,42.39,0.0,-0.007,1.01,-0.18,0.24,-0.18,-158.47,405.24,44.35,0.3,4.167,100
630825,42.4,-0.0,-0.009,1.01,-0.37,0.06,-0.31,-164.47,390.25,59.35,0.2,4.167,100
630928,42.38,0.001,-0.01,1.009,-0.31,0.06,-0.24,-179.46,414.24,8.37,0.1,4.167,100
631031,42.4,-0.0,-0.008,1.011,-0.24,0.18,-0.18,-149.47,390.25,29.36,0.2,4.167,100
631134,42.39,-0.0,-0.01,1.01,-0.18,0.12,-0.18,-149.47,354.26,50.35,0.2,4.167,100
631237,42.39,0.0,-0.01,1.011,-0.31,0.18,-0.24,-167.47,375.25,26.36,0.2,4.167,100
631340,42.39,0.0,-0.007,1.012,-0.24,0.12,-0.37,-173.46,360.26,14.36,0.1,4.167,100
631443,42.39,-0.0,-0.008,1.011,-0.18,0.0,-0.31,-170.46,369.26,47.35,0.2,4.167,100
631546,42.39,-0.001,-0.009,1.008,-0.18,0.12,-0.24,-179.46,426.23,53.35,0.1,4.167,100
631649,42.38,-0.002,-0.009,1.011,-0.24,0.18,-0.24,-161.47,372.26,-3.63,0.1,4.167,100
631752,42.35,-0.001,-0.009,1.012,-0.18,0.24,-0.18,-146.47,393.25,20.36,0.1,4.167,100
631855,42.43,-0.002,-0.007,1.01,-0.12,0.06,-0.18,-167.47,363.26,47.35,0.1,4.166,100
631958,42.39,0.0,-0.007,1.009,-0.31,0.12,-0.18,-185.46,381.25,-15.62,0.2,4.166,100
632061,42.38,0.0,-0.009,1.011,-0.18,0.06,-0.18,-161.47,402.24,56.35,0.1,4.166,100
632164,42.4,-0.001,-0.008,1.01,-0.06,0.18,-0.24,-164.47,414.24,11.37,0.1,4.166,100
632267,42.41,-0.001,-0.008,1.011,-0.18,0.0,-0.31,-164.47,408.24,29.36,0.1,4.166,100
632370,42.4,0.0,-0.011,1.011,-0.18,0.12,-0.37,-164.47,378.25,-12.62,0.3,4.166,100
632473,42.43,0.0,-0.009,1.011,-0.24,-0.06,-0.18,-176.46,396.25,47.35,0.3,4.166,100
632576,42.36,-0.001,-0.008,1.011,-0.18,0.12,-0.12,-173.46,384.25,47.35,0.2,4.166,100
632679,42.4,0.001,-0.009,1.01,-0.37,0.12,-0.31,-164.47,390.25,17.36,0.2,4.166,100
632782,42.39,0.0,-0.008,1.01,-0.24,0.24,-0.12,-161.47,363.26,47.35,0.3,4.166,100
